funcion,learning_rate,x_inicial,y_inicial,iteraciones,convergido,f_final
1D,0.001,-2.0,,200,False,16.224229126816503
1D,0.01,-2.0,,200,False,5.0077333966451425
1D,0.1,-2.0,,63,True,5.000000000015391
1D,0.5,-2.0,,2,True,5.0
1D,0.9,-2.0,,73,True,5.000000000000178
1D,1.0,-2.0,,200,False,30.0
1D,1.5,-2.0,,200,False,6.4556246952172715e+121
2D,0.001,-1.0,4.0,200,False,8.081444971307889
2D,0.01,-1.0,4.0,200,False,0.005568045584503523
2D,0.1,-1.0,4.0,73,True,1.9895196601282805e-13
2D,0.5,-1.0,4.0,2,True,0.0
2D,0.001,5.0,-1.0,200,False,5.836599145944581
2D,0.01,5.0,-1.0,200,False,0.004021366255474668
2D,0.1,5.0,-1.0,72,True,2.255973186038318e-13
2D,0.5,5.0,-1.0,2,True,0.0
2D,0.001,0.0,0.0,200,False,2.244845825363301
2D,0.01,0.0,0.0,200,False,0.0015466793290279668
2D,0.1,0.0,0.0,70,True,2.113864638886298e-13
2D,0.5,0.0,0.0,2,True,0.0
